"airline","airlineID","sourceAirport","sourceAirportID","destinationAirport","destinationAirportID","codeshare","stops","equipment"
"3H",NA,"AKV","5506","YIK","5504",NA,"0","DH8"
"3H",NA,"AKV","5506","YPX","6727",NA,"0","DH8"
"3H",NA,"XGR","5512","YVP"," 154",NA,"0","DHT BET"
"3H",NA,"YGL","  62","YGW","5496",NA,"0","DHT"
"3H",NA,"YGL","  62","YPX","6727",NA,"0","73M"
"3H",NA,"YGL","  62","YUL"," 146",NA,"0","73M"
"3H",NA,"YGW","5496","YGL","  62",NA,"0","DHT"
"3H",NA,"YGW","5496","YPH","5520",NA,"0","BET"
"3H",NA,"YGW","5496","YSK","5529",NA,"0","DH8"
"3H",NA,"YGW","5496","YUD","5515",NA,"0","DH8"
"3H",NA,"YGW","5496","YUL"," 146",NA,"0","DH8"
"3H",NA,"YGW","5496","YUY"," 149",NA,"0","DH8"
"3H",NA,"YIK","5504","AKV","5506",NA,"0","DH8"
"3H",NA,"YIK","5504","YZG","5535",NA,"0","DH8"
"3H",NA,"YKG","5481","YPJ","5508",NA,"0","DHT DH8"
"3H",NA,"YKG","5481","YQC","5499",NA,"0","DH8"
"3H",NA,"YKG","5481","YVP"," 154",NA,"0","DH8 DHT"
"3H",NA,"YKL","  80","YQB"," 111",NA,"0","DH8"
"3H",NA,"YKL","  80","YVP"," 154",NA,"0","DH8 BET"
"3H",NA,"YKL","  80","YWK"," 161",NA,"0","BET"
"3H",NA,"YKL","  80","YZV"," 202",NA,"0","BET DH8"
"3H",NA,"YPH","5520","YPX","6727",NA,"0","DH8 BET"
"3H",NA,"YPH","5520","YUD","5515",NA,"0","DH8"
"3H",NA,"YPH","5520","YVP"," 154",NA,"0","BET"
"3H",NA,"YPJ","5508","YKG","5481",NA,"0","DHT DH8"
"3H",NA,"YPJ","5508","YTQ","6728",NA,"0","DHT DH8"
"3H",NA,"YPJ","5508","YVP"," 154",NA,"0","DHT"
"3H",NA,"YPX","6727","AKV","5506",NA,"0","DH8"
"3H",NA,"YPX","6727","YGL","  62",NA,"0","73M"
"3H",NA,"YPX","6727","YPH","5520",NA,"0","DH8"
"3H",NA,"YPX","6727","YVP"," 154",NA,"0","BET"
"3H",NA,"YQB"," 111","YKL","  80",NA,"0","DH8"
"3H",NA,"YQB"," 111","YUL"," 146",NA,"0","DH8"
"3H",NA,"YQC","5499","YKG","5481",NA,"0","DH8"
