"IATA","province"
"YAM","Ontario"
"YAV","Manitoba"
"YAW","Nova Scotia"
"YAY","Newfoundland and Labrador"
"YAZ","British Columbia"
"YBB","Nunavut"
"YBC","Quebec"
"YBG","Quebec"
"YBK","Nunavut"
"YBL","British Columbia"
"YBR","Manitoba"
"YCB","Nunavut"
"YCD","British Columbia"
"YCG","British Columbia"
"YCH","New Brunswick"
"YCL","New Brunswick"
"YCO","Nunavut"
"YCT","Alberta"
"YCW","British Columbia"
"YCY","Nunavut"
"YZS","Nunavut"
"YDA","Yukon"
"YDB","Yukon"
"YDC","British Columbia"
"YDF","Newfoundland and Labrador"
"YDL","British Columbia"
"YDN","Manitoba"
"YDQ","British Columbia"
"YEG","Alberta"
"YEK","Nunavut"
"YEN","Saskatchewan"
"YET","Alberta"
"YEU","Nunavut"
"YEV","Northwest Territories"
"YFB","Nunavut"
"YFC","New Brunswick"
"YFE","Quebec"
"YFO","Manitoba"
"YFR","Northwest Territories"
"YFS","Northwest Territories"
"YGK","Ontario"
"YGL","Quebec"
"YGP","Quebec"
"YGQ","Ontario"
"YGR","Quebec"
"YHB","Saskatchewan"
"YHD","Ontario"
"YHI","Northwest Territories"
"YHK","Nunavut"
"YHM","Ontario"
"YHU","Quebec"
"YHY","Northwest Territories"
"YHZ","Nova Scotia"
"YIB","Ontario"
"YIO","Nunavut"
"YJN","Quebec"
"YJT","Newfoundland and Labrador"
"YKA","British Columbia"
"YKF","Ontario"
"YKL","Quebec"
"YKY","Saskatchewan"
"YKZ","Ontario"
"YLD","Ontario"
"YLJ","Saskatchewan"
"YLL","Alberta"
"YLT","Nunavut"
"YLW","British Columbia"
"YMA","Yukon"
"YMJ","Saskatchewan"
"YMM","Alberta"
"YMO","Ontario"
"YMW","Quebec"
"YMX","Quebec"
"YNA","Quebec"
"YND","Quebec"
"YNM","Quebec"
"YOC","Yukon"
"YOD","Alberta"
"YOJ","Alberta"
"YOW","Ontario"
"YPA","Saskatchewan"
"YPE","Alberta"
"YPG","Manitoba"
"YPK","British Columbia"
"YPL","Ontario"
"YPN","Quebec"
"YPQ","Ontario"
"YPR","British Columbia"
"YPY","Alberta"
"YQA","Ontario"
"YQB","Quebec"
"YQF","Alberta"
"YQG","Ontario"
"YQH","Yukon"
"YQK","Ontario"
"YQL","Alberta"
"YQM","New Brunswick"
"YQQ","British Columbia"
"YQR","Saskatchewan"
"YQT","Ontario"
"YQU","Alberta"
"YQV","Saskatchewan"
"YQW","Saskatchewan"
"YQX","Newfoundland and Labrador"
"YQY","Nova Scotia"
"YQZ","British Columbia"
"YRB","Nunavut"
"YRI","Quebec"
"YRJ","Quebec"
"YRM","Alberta"
"YRT","Nunavut"
"YSB","Ontario"
"YSC","Quebec"
"YSJ","New Brunswick"
"YSM","Northwest Territories"
"YSR","Nunavut"
"YSU","Prince Edward Island"
"YSY","Northwest Territories"
"YTE","Nunavut"
"YTH","Manitoba"
"YTR","Ontario"
"YTS","Ontario"
"YTZ","Ontario"
"YUB","Northwest Territories"
"YUL","Quebec"
"YUT","Nunavut"
"YUX","Nunavut"
"YUY","Quebec"
"YVC","Saskatchewan"
"YVG","Alberta"
"YVM","Nunavut"
"YVO","Quebec"
"YVP","Quebec"
"YVQ","Northwest Territories"
"YVR","British Columbia"
"YVT","Saskatchewan"
"YVV","Ontario"
"YWA","Ontario"
"YWG","Manitoba"
"YWK","Newfoundland and Labrador"
"YWL","British Columbia"
"YWY","Northwest Territories"
"YXC","British Columbia"
"YXD","Alberta"
"YXE","Saskatchewan"
"YXH","Alberta"
"YXJ","British Columbia"
"YXL","Ontario"
"YXP","Nunavut"
"YXR","Ontario"
"YXS","British Columbia"
"YXT","British Columbia"
"YXU","Ontario"
"YXX","British Columbia"
"YXY","Yukon"
"YYB","Ontario"
"YYC","Alberta"
"YYD","British Columbia"
"YYE","British Columbia"
"YYF","British Columbia"
"YYG","Prince Edward Island"
"YYH","Nunavut"
"YYJ","British Columbia"
