"IATA","airportID","name","city","country","ICAO","latitude","longitude","altitude","timezone","DST","tzFormat","typeAirport","Source","totalFlights"
"0V4",9800,"Brookneal/Campbell County Airport","Brookneal","United States","K0V4",37.1417007446,-79.0164031982,596,-5,"A","America/New_York","airport","OurAirports",\N
"19S",11075,"Sublette Municipal Airport","Sublette","United States","K19S",37.49140167,-100.8300018,2908,-5,"A",\N,"airport","OurAirports",\N
"23M",9448,"Clarke County Airport","Quitman","United States","K23M",32.0848999023,-88.738899231,320,-6,"A","America/Chicago","airport","OurAirports",\N
"2A5",9754,"Causey Airport","Liberty","United States","K2A5",35.9118003845215,-79.6175994873047,723,-5,"A","America/New_York","airport","OurAirports",\N
"2H0",9305,"Shelby County Airport","Shelbyville","United States","K2H0",39.4104003906,-88.8453979492,618,-6,"A","America/Chicago","airport","OurAirports",\N
"2K7",11078,"Neodesha Municipal Airport","Neodesha","United States","K2K7",37.4353981018066,-95.6461029052734,841,-5,"A",\N,"airport","OurAirports",\N
"3AU",11091,"Augusta Municipal Airport","Augusta","United States","K3AU",37.6716003417969,-97.0779037475586,1328,-5,"A",\N,"airport","OurAirports",\N
"4A7",9066,"Atlanta South Regional Airport/Tara Field","Hampton","United States","K4A7",33.389099,-84.332397,874,-5,"A","America/New_York","airport","OurAirports",\N
"4U9",7716,"Dell Flight Strip","Dell","United States","K4U9",44.7356987,-112.720001221,6007,-7,"A","America/Denver","airport","OurAirports",\N
"52A",8512,"Madison Municipal Airport","Madison","United States","K52A",33.6120986938,-83.4604034424,694,-5,"A","America/New_York","airport","OurAirports",\N
"57C",8343,"East Troy Municipal Airport","East Troy","United States","K57C",42.7971992492676,-88.3725967407227,860,-6,"A","America/Chicago","airport","OurAirports",\N
"5B2",9179,"Saratoga County Airport","Ballston Spa","United States","K5B2",43.05130005,-73.86119843,434,-5,"A","America/New_York","airport","OurAirports",\N
"6J4",9416,"Saluda County Airport","Saluda","United States","K6J4",33.9267997741699,-81.7946014404297,555,-5,"A","America/New_York","airport","OurAirports",\N
"6S0",7720,"Big Timber Airport","Big Timber","United States","K6S0",45.8064002990723,-109.981002807617,4492,-7,"A","America/Denver","airport","OurAirports",\N
"7W6",9773,"Hyde County Airport","Engelhard","United States","K7W6",35.5624008178711,-75.9552001953125,8,-5,"A","America/New_York","airport","OurAirports",\N
"87K",10105,"El Dorado Springs Memorial Airport","El dorado springs","United States","K87K",37.8567008972168,-93.9990997314453,931,-5,"A",\N,"airport","OurAirports",\N
"A39",8874,"Ak-Chin Regional Airport","Phoenix","United States","KA39",32.9908056,-111.9185278,1300,-7,"A","America/Phoenix","airport","OurAirports",\N
"A50",9429,"Colorado Springs East Airport","Ellicott","United States","KA50",38.8744010925293,-104.410003662109,6145,-7,"A","America/Denver","airport","OurAirports",\N
"AAA",1973,"Anaa Airport","Anaa","French Polynesia","NTGA",-17.3526000976562,-145.509994506836,10,-10,"U","Pacific/Tahiti","airport","OurAirports",\N
"AAC",5690,"El Arish International Airport","El Arish","Egypt","HEAR",31.073299408,33.8358001709,121,2,"U","Africa/Cairo","airport","OurAirports",\N
"AAE",220,"Annaba Airport","Annaba","Algeria","DABB",36.8222007751465,7.80916976928711,16,1,"N","Africa/Algiers","airport","OurAirports",9
"AAF",8252,"Apalachicola Regional Airport","Apalachicola","United States","KAAF",29.72750092,-85.02749634,20,-5,"A","America/New_York","airport","OurAirports",\N
"AAH",4165,"Aachen-Merzbrück Airport","Aachen","Germany","EDKA",50.823055267334,6.18638896942139,623,1,"E","Europe/Berlin","airport","OurAirports",\N
"AAK",7591,"Buariki Airport","Buariki","Kiribati","NGUK",0.185277998447418,173.636993408203,0,10,"U",\N,"airport","OurAirports",\N
"AAL",628,"Aalborg Airport","Aalborg","Denmark","EKYT",57.0927589138,9.84924316406,10,1,"E","Europe/Copenhagen","airport","OurAirports",21
"AAM",5605,"Malamala Airport","Malamala","South Africa","FAMD",-24.8180999755859,31.5445995330811,1124,2,"U","Africa/Johannesburg","airport","OurAirports",\N
"AAN",5937,"Al Ain International Airport","Al Ain","United Arab Emirates","OMAL",24.2616996765137,55.6091995239258,869,4,"U","Asia/Dubai","airport","OurAirports",2
"AAO",2819,"Anaco Airport","Anaco","Venezuela","SVAN",9.43022537231445,-64.4707260131836,721,-4,"U","America/Caracas","airport","OurAirports",\N
"AAP",9225,"Andrau Airpark","Houston","United States","KAAP",29.7224998474,-95.5883026123,79,-6,"A","America/Chicago","airport","OurAirports",\N
"AAQ",4353,"Anapa Vityazevo Airport","Anapa","Russia","URKA",45.002101898193,37.347301483154,174,3,"N","Europe/Moscow","airport","OurAirports",3
"AAR",607,"Aarhus Airport","Aarhus","Denmark","EKAH",56.2999992371,10.6190004349,82,1,"E","Europe/Copenhagen","airport","OurAirports",8
"AAV",11926,"Allah Valley Airport","Surallah","Philippines","RPMA",6.36681985855103,124.750999450684,659,\N,\N,\N,"airport","OurAirports",\N
"AAX",7395,"Romeu Zema Airport","Araxa","Brazil","SBAX",-19.563199996948,-46.960399627686,3276,-3,"S","America/Sao_Paulo","airport","OurAirports",1
"AAY",3979,"Al Ghaidah International Airport","Al Ghaidah Intl","Yemen","OYGD",16.1916999816895,52.1749992370605,134,3,"U","Asia/Aden","airport","OurAirports",2
"AAZ",5813,"Quezaltenango Airport","Quezaltenango","Guatemala","MGQZ",14.8655996322632,-91.5019989013672,7779,-6,"U","America/Guatemala","airport","OurAirports",\N
"ABA",2955,"Abakan Airport","Abakan","Russia","UNAA",53.7400016784668,91.3850021362305,831,7,"N","Asia/Krasnoyarsk","airport","OurAirports",4
"ABD",2097,"Abadan Airport","Abadan","Iran","OIAA",30.371099472,48.2282981873,10,3.5,"E","Asia/Tehran","airport","OurAirports",6
"ABE",4355,"Lehigh Valley International Airport","Allentown","United States","KABE",40.652099609375,-75.440803527832,393,-5,"A","America/New_York","airport","OurAirports",13
"ABF",7320,"Abaiang Airport","Abaiang Atoll","Kiribati","NGAB",1.79860997200012,173.041000366211,0,12,"U","Pacific/Tarawa","airport","OurAirports",\N
"ABH",12011,"Alpha Airport","Alpha","Australia","YAPH",-23.646099,146.584,1255,\N,\N,\N,"airport","OurAirports",\N
"ABI",3718,"Abilene Regional Airport","Abilene","United States","KABI",32.4113006592,-99.6819000244,1791,-6,"A","America/Chicago","airport","OurAirports",2
"ABJ",253,"Port Bouet Airport","Abidjan","Cote d'Ivoire","DIAP",5.261390209198,-3.9262900352478,21,0,"N","Africa/Abidjan","airport","OurAirports",52
"ABK",5682,"Kabri Dehar Airport","Kabri Dehar","Ethiopia","HAKD",6.73400020599365,44.2529983520508,1800,3,"U","Africa/Addis_Ababa","airport","OurAirports",\N
"ABL",7177,"Ambler Airport","Ambler","United States","PAFM",67.106300354,-157.856994629,334,-9,"A","America/Anchorage","airport","OurAirports",4
"ABM",3318,"Northern Peninsula Airport","Amberley","Australia","YBAM",-10.9508,142.459,34,10,"O","Australia/Brisbane","airport","OurAirports",1
"ABN",7325,"Albina Airport","Albina","Suriname","SMBN",5.51272010803223,-54.0500984191895,19,-3,"U","America/Paramaribo","airport","OurAirports",\N
"ABQ",4019,"Albuquerque International Sunport Airport","Albuquerque","United States","KABQ",35.0401992797852,-106.609001159668,5355,-7,"A","America/Denver","airport","OurAirports",41
"ABR",5714,"Aberdeen Regional Airport","Aberdeen","United States","KABR",45.4491004943848,-98.4217987060547,1302,-6,"A","America/Chicago","airport","OurAirports",1
"ABS",1127,"Abu Simbel Airport","Abu Simbel","Egypt","HEBL",22.3759994507,31.611700058,616,2,"U","Africa/Cairo","airport","OurAirports",1
"ABT",2061,"Al Baha Airport","El-baha","Saudi Arabia","OEBA",20.2961006165,41.6343002319,5486,3,"U","Asia/Riyadh","airport","OurAirports",3
"ABV",260,"Nnamdi Azikiwe International Airport","Abuja","Nigeria","DNAA",9.00679016113281,7.26316976547241,1123,1,"N","Africa/Lagos","airport","OurAirports",30
"ABX",3333,"Albury Airport","Albury","Australia","YMAY",-36.067798614502,146.957992553711,539,10,"O","Australia/Sydney","airport","OurAirports",4
"ABY",5715,"Southwest Georgia Regional Airport","Albany","United States","KABY",31.5354995727539,-84.1945037841797,197,-5,"A","America/New_York","airport","OurAirports",4
"ABZ",532,"Aberdeen Dyce Airport","Aberdeen","United Kingdom","EGPD",57.2019004821777,-2.19777989387512,215,0,"E","Europe/London","airport","OurAirports",41
"ACA",1783,"General Juan N Alvarez International Airport","Acapulco","Mexico","MMAA",16.7570991516113,-99.7539978027344,16,-6,"S","America/Mexico_City","airport","OurAirports",9
"ACC",248,"Kotoka International Airport","Accra","Ghana","DGAA",5.60518980026245,-0.166786000132561,205,0,"N","Africa/Accra","airport","OurAirports",53
"ACD",7354,"Alcides Fernández Airport","Acandi","Colombia","SKAD",8.51667,-77.3,50,-5,"U","America/Bogota","airport","OurAirports",\N
"ACE",1055,"Lanzarote Airport","Arrecife","Spain","GCRR",28.945499420166,-13.6051998138428,46,0,"E","Atlantic/Canary","airport","OurAirports",117
"ACH",1679,"St Gallen Altenrhein Airport","Altenrhein","Switzerland","LSZR",47.4850006104,9.56077003479,1306,1,"E","Europe/Zurich","airport","OurAirports",2
"ACI",497,"Alderney Airport","Alderney","Guernsey","EGJA",49.7061004638672,-2.21472001075745,290,0,"E","Europe/Guernsey","airport","OurAirports",2
"ACJ",3025,"Anuradhapura Air Force Base","Anuradhapura","Sri Lanka","VCCA",8.30148983002,80.4279022217,324,5.5,"U","Asia/Colombo","airport","OurAirports",\N
"ACK",3517,"Nantucket Memorial Airport","Nantucket","United States","KACK",41.25310135,-70.06020355,47,-5,"A","America/New_York","airport","OurAirports",6
"ACP",6746,"Sahand Airport","Maragheh","Iran","OITM",37.3479995727539,46.1278991699219,4396,3.5,"E","Asia/Tehran","airport","OurAirports",\N
"ACR",6740,"Araracuara Airport","Araracuara","Colombia","SKAC",-0.5833,-72.4083,1250,-5,"U","America/Bogota","airport","OurAirports",2
"ACS",11524,"Achinsk Airport","Achinsk","Russia","UNKS",56.2682991027832,90.57080078125,1033,8,"N",\N,"airport","OurAirports",\N
"ACT",3700,"Waco Regional Airport","Waco","United States","KACT",31.6112995147705,-97.2304992675781,516,-6,"A","America/Chicago","airport","OurAirports",2
